Ambito Geografico;Territorio;2015;2016;2017;2018;2019;2019 ajustado
Municipio;SEIA;9143;9741;11326;10505;11200;11200
Municipio;TRANCOSO;//;//;0;0;;0
Municipio;ALCOCHETE;2185;2743;5817;;9661;9661
Municipio;ALMADA;60756;117735;104540;111288;63200;63200
Municipio;AMADORA;15674;71728;42269;43692;61682;61682
Municipio;BARREIRO;38922;53995;89687;50413;47619;47619
Municipio;CASCAIS;22416;15498;28858;104480;127673;127673
Municipio;LISBOA;2315582;2796992;2259776;2775062;3029810;3029810
Municipio;LOURES;2552;6100;31501;42643;39158;39158
Municipio;MAFRA;,,,;2998;15587;21459;22255;22255
Municipio;MOITA;8374;,,,;15289;12457;14798;14798
Municipio;MONTIJO;1546;,,,;;150162;10997;10997
Municipio;ODIVELAS;,,,;,,,;;;10428;10428
Municipio;OEIRAS;297332;397485;356742;279825;309148;309148
Municipio;PALMELA;47091;29395;84556;48588;42469;42469
Municipio;SEIXAL;49105;66493;87414;57458;71636;71636
Municipio;SESIMBRA;101593;51580;36339;91211;208453;208453
Municipio;SETUBAL;231046;411572;224827;106499;106999;106999
Municipio;SINTRA;58115;83205;174142;216299;180502;180502
Municipio;VILA FRANCA DE XIRA;168926;144760;81090;165897;151538;151538
Municipio;ALCACER DO SAL;,,,;,,,;;;;
Municipio;GRANDOLA;66750;,,,;65418;66748;62613;62613
Municipio;ODEMIRA;32154;,,,;51095;;;51095
Municipio;SANTIAGO DO CACEM;,,,;//;;0;15763;15763
Municipio;SINES;63392;44218;27202;25300;200490;200490
Municipio;ALJUSTREL;13356;,,,;11119;11485;19040;19040
Municipio;ALMODOVAR;37727;,,,;38798;45985;25815;25815
Municipio;ALVITO;17900;//;6822;10748;2668;2668
Municipio;BARRANCOS;//;//;0;0;0;0
Municipio;BEJA;6421;5817;8902;35912;31514;31514
Municipio;CASTRO VERDE;28138;33525;31073;43165;25037;25037
Municipio;CUBA;//;//;0;;;0
Municipio;FERREIRA DO ALENTEJO;,,,;,,,;;;0;0
Municipio;MERTOLA;48550;,,,;53734;26095;48450;48450
Municipio;MOURA;10095;,,,;10032;25290;16572;16572
Municipio;OURIQUE;,,,;,,,;;;;
Municipio;SERPA;10025;19439;17483;19191;;18337
Municipio;VIDIGUEIRA;,,,;//;0;0;0;0
Municipio;ALMEIRIM;25524;23290;27594;15345;15763;15763
Municipio;ALPIARCA;,,,;,,,;1950;12580;13240;13240
Municipio;AZAMBUJA;15380;,,,;12800;16800;14875;14875
Municipio;BENAVENTE;3376;//;;;;
Municipio;CARTAXO;4830;4981;6800;15274;10412;10412
Municipio;CHAMUSCA;//;//;0;;;0
Municipio;CORUCHE;13300;18150;22100;23600;13825;13825
Municipio;GOLEGA;//;//;0;0;0;0
Municipio;RIO MAIOR;,,,;//;;;21811;21811
Municipio;SALVATERRA DE MAGOS;//;//;0;0;0;0
Municipio;SANTAREM;13059;11077;9328;81593;97695;97695
