Natural Key;Dicofre;Freguesia;Concelho;Distrito;Latitude;Longitude
Cantar-Galo e Vila do CarvalhoCOVILHÃCASTELO BRANCO;50333;Cantar-Galo e Vila do Carvalho;COVILHÃ;CASTELO BRANCO;66513.4916;68232.1965
Portunhos e OutilCANTANHEDECOIMBRA;60222;Portunhos e Outil;CANTANHEDE;COIMBRA;53256.7781;71218.8995
Vale de EspinhoSABUGALGUARDA;91136;Vale de Espinho;SABUGAL;GUARDA;-37244.642;70510.3239
Vide e CabeçaSEIAGUARDA;91236;Vide e Cabeça;SEIA;GUARDA;101030.165;69878.7142
Oliveira do Mondego e Travanca do MondegoPENACOVACOIMBRA;61313;Oliveira do Mondego e Travanca do Mondego;PENACOVA;COIMBRA;30901.8304;68732.2196
Espariz e SindeTÁBUACOIMBRA;61618;Espariz e Sinde;TÁBUA;COIMBRA;-6748.6963;72129.1061
São Pedro de Alva e São Paio de MondegoPENACOVACOIMBRA;61314;São Pedro de Alva e São Paio de Mondego;PENACOVA;COIMBRA;7306.6641;72578.7366
Aldeia do BispoSABUGALGUARDA;91102;Aldeia do Bispo;SABUGAL;GUARDA;-2638.5261;71019.2381
São GiãoOLIVEIRA DO HOSPITALCOIMBRA;61115;São Gião;OLIVEIRA DO HOSPITAL;COIMBRA;108491.352;73081.997
São João da Boa VistaTÁBUACOIMBRA;61612;São João da Boa Vista;TÁBUA;COIMBRA;29043.945;73370.1975
Souselas e BotãoCOIMBRACOIMBRA;60339;Souselas e Botão;COIMBRA;COIMBRA;11348.2846;74164.4412
Penalva de Alva e São Sebastião da FeiraOLIVEIRA DO HOSPITALCOIMBRA;61125;Penalva de Alva e São Sebastião da Feira;OLIVEIRA DO HOSPITAL;COIMBRA;-23586.519;71158.8094
Nogueira do CravoOLIVEIRA DO HOSPITALCOIMBRA;61111;Nogueira do Cravo;OLIVEIRA DO HOSPITAL;COIMBRA;24924.2329;73286.9042
Abrunhosa-a-VelhaMANGUALDEVISEU;180601;Abrunhosa-a-Velha;MANGUALDE;VISEU;20793.9692;73914.2214
Santiago de Cassurrães e Póvoa de CervãesMANGUALDEVISEU;180621;Santiago de Cassurrães e Póvoa de Cervães;MANGUALDE;VISEU;42894.6617;101130.343
Aldeia ViçosaGUARDAGUARDA;90704;Aldeia Viçosa;GUARDA;GUARDA;37002.2617;100291.58
SilgueirosVISEUVISEU;182317;Silgueiros;VISEU;VISEU;68856.263;101646.899
Gafanha do CarmoÍLHAVOAVEIRO;11007;Gafanha do Carmo;ÍLHAVO;AVEIRO;15160.51;99758.1948
CastanheiraGUARDAGUARDA;90712;Castanheira;GUARDA;GUARDA;-51724.881;102437.712
Requeixo, Nossa Senhora de Fátima e NarizAVEIROAVEIRO;10516;Requeixo, Nossa Senhora de Fátima e Nariz;AVEIRO;AVEIRO;90091.5251;100617.553
FreinedaALMEIDAGUARDA;90209;Freineda;ALMEIDA;GUARDA;-37224.516;100342.848
Vilar de Besteiros e Mosteiro de FráguasTONDELAVISEU;182133;Vilar de Besteiros e Mosteiro de Fráguas;TONDELA;VISEU;105834.43;101696.808
Rapa e CadafazCELORICO DA BEIRAGUARDA;90326;Rapa e Cadafaz;CELORICO DA BEIRA;GUARDA;4924.54328;101076.29
Gonçalo BocasGUARDAGUARDA;90721;Gonçalo Bocas;GUARDA;GUARDA;65335.543;101505.149
Amoreira, Parada e CabreiraALMEIDAGUARDA;90230;Amoreira, Parada e Cabreira;ALMEIDA;GUARDA;81139.7517;101811.887
MesquitelaCELORICO DA BEIRAGUARDA;90310;Mesquitela;CELORICO DA BEIRA;GUARDA;94555.5453;99830.0632
CavadoudeGUARDAGUARDA;90713;Cavadoude;GUARDA;GUARDA;55933.5721;102029.228
Vila Franca da SerraGOUVEIAGUARDA;90620;Vila Franca da Serra;GOUVEIA;GUARDA;71587.6785;102744.484
AlvendreGUARDAGUARDA;90705;Alvendre;GUARDA;GUARDA;49521.8393;101942.252
Santiago de BesteirosTONDELAVISEU;182118;Santiago de Besteiros;TONDELA;VISEU;74172.3631;102366.148
Travassô e Óis da RibeiraÁGUEDAAVEIRO;10125;Travassô e Óis da Ribeira;ÁGUEDA;AVEIRO;578.133679;101846.402
Belazaima do Chão, Castanheira do Vouga e AgadãoÁGUEDAAVEIRO;10123;Belazaima do Chão, Castanheira do Vouga e Agadão;ÁGUEDA;AVEIRO;-31264.799;102315.631
