Municipio;MOURAO;0
Municipio;PORTEL;0
Municipio;REDONDO;0
Municipio;REGUENGOS DE MONSARAZ;0
Municipio;VENDAS NOVAS;0
Municipio;VIANA DO ALENTEJO;0
Municipio;VILA VICOSA;0
Municipio;ALBUFEIRA;
Municipio;ALCOUTIM;0
Municipio;ALJEZUR;0
Municipio;CASTRO MARIM;0
Municipio;FARO;
Municipio;LAGOA;0
Municipio;LAGOS;
Municipio;LOULE;
Municipio;MONCHIQUE;0
Municipio;OLHAO;14
Municipio;PORTIMAO;
Municipio;SAO BRAS DE ALPORTEL;0
Municipio;SILVES;
Municipio;TAVIRA;0
Municipio;VILA DO BISPO;0
Municipio;VILA REAL DE SANTO ANTONIO;0
Municipio;VILA DO PORTO;0
Municipio;LAGOA [R.A.A.];0
Municipio;NORDESTE;0
Municipio;PONTA DELGADA;832
Municipio;POVOACAO;0
Municipio;RIBEIRA GRANDE;0
Municipio;VILA FRANCA DO CAMPO;0
Municipio;ANGRA DO HEROISMO;552
Municipio;VILA DA PRAIA DA VITORIA;0
Municipio;SANTA CRUZ DA GRACIOSA;0
Municipio;CALHETA [R.A.A.];0
Municipio;VELAS;0
Municipio;LAJES DO PICO;0
Municipio;MADALENA;0
Municipio;SAO ROQUE DO PICO;0
Municipio;HORTA;100
Municipio;LAJES DAS FLORES;0
Municipio;SANTA CRUZ DAS FLORES;0
Municipio;CORVO;0
Municipio;CALHETA [R.A.M.];0
Municipio;CAMARA DE LOBOS;0
Municipio;FUNCHAL;1868
Municipio;MACHICO;0
Municipio;PONTA DO SOL;0
Municipio;PORTO MONIZ;0
Municipio;RIBEIRA BRAVA;0
Municipio;SANTA CRUZ;0
Municipio;SANTANA;0
Municipio;SAO VICENTE;0
Municipio;PORTO SANTO;0
