Praia;Location_ID;Freguesias;Municipio;Distrito
Praia do Porto das Barcas;110812;Lourinha e Atalaia;LOURINHA;LISBOA
Praia do Zimbral;110810;Ribamar;LOURINHA;LISBOA
Praia de Porto Dinheiro;110810;Ribamar;LOURINHA;LISBOA
Praia de Valmitao;110810;Ribamar;LOURINHA;LISBOA
Praia das Conchas;111321;A dos Cunhados e Maceira;TORRES VEDRAS;LISBOA
Praia de Porto Novo;111321;A dos Cunhados e Maceira;TORRES VEDRAS;LISBOA
Praia de Santa Rita (Norte);111321;A dos Cunhados e Maceira;TORRES VEDRAS;LISBOA
Praia de Santa Rita (Sul);111321;A dos Cunhados e Maceira;TORRES VEDRAS;LISBOA
Praia do Seixo;111321;A dos Cunhados e Maceira;TORRES VEDRAS;LISBOA
Praia da Mexilhoeira;111321;A dos Cunhados e Maceira;TORRES VEDRAS;LISBOA
Praia do Amanha;111321;A dos Cunhados e Maceira;TORRES VEDRAS;LISBOA
Praia do Navio;111321;A dos Cunhados e Maceira;TORRES VEDRAS;LISBOA
Praia do Mirante;111321;A dos Cunhados e Maceira;TORRES VEDRAS;LISBOA
Praia do Pisao;111321;A dos Cunhados e Maceira;TORRES VEDRAS;LISBOA
Praia da Fisica;111321;A dos Cunhados e Maceira;TORRES VEDRAS;LISBOA
Praia do Centro;111316;Silveira;TORRES VEDRAS;LISBOA
Praia de Santa Helena;111316;Silveira;TORRES VEDRAS;LISBOA
Praia do Guincho;111316;Silveira;TORRES VEDRAS;LISBOA
Praia da Formosa;111316;Silveira;TORRES VEDRAS;LISBOA
Praia das Amoeiras;111316;Silveira;TORRES VEDRAS;LISBOA
Praia Azul;111316;Silveira;TORRES VEDRAS;LISBOA
Praia da Foz do Sizandro;111316;Silveira;TORRES VEDRAS;LISBOA
Praia de Porto Chao;111314;Sao Pedro da Cadeira;TORRES VEDRAS;LISBOA
Praia de Cambelas;111314;Sao Pedro da Cadeira;TORRES VEDRAS;LISBOA
Praia do Baio;111314;Sao Pedro da Cadeira;TORRES VEDRAS;LISBOA
Praia da Horta;111314;Sao Pedro da Cadeira;TORRES VEDRAS;LISBOA
Praia das Furnas;111314;Sao Pedro da Cadeira;TORRES VEDRAS;LISBOA
Praia das Pecas;111314;Sao Pedro da Cadeira;TORRES VEDRAS;LISBOA
Praia do Porto Barril;110904;Encarnacao;MAFRA;LISBOA
Praia das Escadinhas;110904;Encarnacao;MAFRA;LISBOA
