Nome de anuncio;Link;Preco;Data de Carregamento;Preco/m2;Rua/Local/Zona;ID;Freguesia;Municipio;Distrito;area util (m2);area bruta (m2);Tipologia;Ano;No Casas de Banho;Certificado Energetico;Condicao;Group Features ID
b'Apartamento T3 na Senhora da Hora/ Matosinhos / Metro \xc3\xa1 porta';https://www.imovirtual.com/pt/anuncio/apartamento-t3-na-senhora-da-hora-matosinhos-metro-a-porta-ID15rqs;187000;09/05/2021;1816;Avenida Fabril do Norte;PortoMatosinhosSao Mamede de Infesta e Senhora da Hora;Sao Mamede de Infesta e Senhora da Hora;MATOSINHOS;PORTO;103;120;T3;1991;2;Não especificado;Usado;F10F17
b'T3 ASPRELA GARDENS';https://www.imovirtual.com/pt/anuncio/t3-asprela-gardens-ID15hCi;323000;09/05/2021;2965;Rua Almirante de Reis;PortoMatosinhosSao Mamede de Infesta e Senhora da Hora;Sao Mamede de Infesta e Senhora da Hora;MATOSINHOS;PORTO;108;162;T3;;2;;Novo;F10F22
b'T3 ASPRELA GARDENS';https://www.imovirtual.com/pt/anuncio/t3-asprela-gardens-ID15hCe;323000;09/05/2021;2965;Rua Almirante de Reis;PortoMatosinhosSao Mamede de Infesta e Senhora da Hora;Sao Mamede de Infesta e Senhora da Hora;MATOSINHOS;PORTO;108;162;T3;;2;;Novo;F10F22
b'Apartamento T3 junto ao metro em Senhora da Hora';https://www.imovirtual.com/pt/anuncio/apartamento-t3-junto-ao-metro-em-senhora-da-hora-ID15UJf;180000;09/05/2021;1748;Avenida da Senhora da Hora;PortoMatosinhosSao Mamede de Infesta e Senhora da Hora;Sao Mamede de Infesta e Senhora da Hora;MATOSINHOS;PORTO;103;103;T3;1991;2;D;Usado;F14F17F19F22
b'Apartamento T2 remodelado em S\xc3\xa3o Mamede de Infesta';https://www.imovirtual.com/pt/anuncio/apartamento-t2-remodelado-em-sao-mamede-de-infesta-ID15UBZ;135000;09/05/2021;1677;Travessa da Estacao;PortoMatosinhosSao Mamede de Infesta e Senhora da Hora;Sao Mamede de Infesta e Senhora da Hora;MATOSINHOS;PORTO;80;82;T2;1987;1;D;Renovado;F2F11F14F19F27F29
b'T1 ASPRELA GARDENS';https://www.imovirtual.com/pt/anuncio/t1-asprela-gardens-ID12ukm;161000;09/05/2021;3172; Bairro de Moradias Populares de Paranhos;PortoPortoParanhos;Paranhos;PORTO;PORTO;50;59;T1;2021;1;A;Novo;F2F10F18F22
b'Apartamento T1 novo no Porto- com 85m2- com 2 varandas lugar garagem';https://www.imovirtual.com/pt/anuncio/apartamento-t1-novo-no-porto-com-85m2-com-2-varandas-lugar-garagem-ID14ZLX;210000;09/05/2021;2471; Bairro de Moradias Populares de Paranhos;PortoPortoParanhos;Paranhos;PORTO;PORTO;85;85;T1;2021;2;Isento;Novo;F2F3F5F8F9F10F11F14F17F19F21F22F23F25
b'T3 ASPRELA GARDENS';https://www.imovirtual.com/pt/anuncio/t3-asprela-gardens-ID12pOf;323000;09/05/2021;2965; Bairro de Moradias Populares de Paranhos;PortoPortoParanhos;Paranhos;PORTO;PORTO;108;162;T3;2021;3;A;Novo;F6F7F8F10F11F15F17F18F22F27F29
b'T3 ASPRELA GARDENS';https://www.imovirtual.com/pt/anuncio/t3-asprela-gardens-ID12x5M;373000;09/05/2021;3314; Bairro de Moradias Populares de Paranhos;PortoPortoParanhos;Paranhos;PORTO;PORTO;112;223;T3;2021;3;A;Novo;F6F7F8F10F11F15F17F18F22F27F29
b'Apartamento T4 em Paranhos - Porto';https://www.imovirtual.com/pt/anuncio/apartamento-t4-em-paranhos-porto-IDYIsM;467000;09/05/2021;1297; Bairro do Amial;PortoPortoParanhos;Paranhos;PORTO;PORTO;360;360;T4;2008;3;Não especificado;Usado;F10F17
b'Apartamento t3 zona de Mios\xc3\xb3tis Paranhos';https://www.imovirtual.com/pt/anuncio/apartamento-t3-zona-de-miosotis-paranhos-ID15RR1;325000;09/05/2021;1786; Bairro do Amial;PortoPortoParanhos;Paranhos;PORTO;PORTO;182;Não especificado;T3;;3;Não especificado;Renovado;F2F6F8F14F15F17F22F27F29
b'Apartamento t3 zona de Mios\xc3\xb3tis Paranhos';https://www.imovirtual.com/pt/anuncio/apartamento-t3-zona-de-miosotis-paranhos-ID15Sf7;325000;09/05/2021;1786; Bairro do Amial;PortoPortoParanhos;Paranhos;PORTO;PORTO;182;Não especificado;T3;;3;B;Não especificado;F2F6F7F8F14F15F17F19F22F25F29
b'T0 com quarto e Kitchenet em Paranhos | Porto';https://www.imovirtual.com/pt/anuncio/t0-com-quarto-e-kitchenet-em-paranhos-porto-ID15Pnu;166900;09/05/2021;4392; Bairro do Carrical;PortoPortoParanhos;Paranhos;PORTO;PORTO;38;53;T0;2003;1;Não especificado;Usado;F10
b'Apartamento T2 em Paredes junto ao Pavilh\xc3\xa3o Multiusos de Astromil- a 3';https://www.imovirtual.com/pt/anuncio/apartamento-t2-em-paredes-junto-ao-pavilhao-multiusos-de-astromil-a-3-ID15wBR;140000;09/05/2021;1197;Rua Alto do Carreiro;PortoParedesAstromil;Astromil;PAREDES;PORTO;117;120;T2;2003;2;C;Renovado;F2F5F6F9F11F21F22F25
b'T2 Renovado c/ Garagem em Baltar | Paredes';https://www.imovirtual.com/pt/anuncio/t2-renovado-c-garagem-em-baltar-paredes-ID15BRu;99000;09/05/2021;1179;Rua Ponte do Ribeiro;PortoParedesBaltar;Baltar;PAREDES;PORTO;84;104;T2;2003;1;C;Renovado;F6F14F15F17
b'Apartamento T2 NOVO | \xc3\x9altimo piso | Pr\xc3\xa9dio j\xc3\xa1 em constru\xc3\xa7\xc3\xa3o | 2 frente';https://www.imovirtual.com/pt/anuncio/apartamento-t2-novo-ultimo-piso-predio-ja-em-construcao-2-frente-ID15nPz;135000;09/05/2021;1627;Travessa da Lage;PortoParedesRebordosa;Rebordosa;PAREDES;PORTO;83;122;T2;;2;A;Novo;F2F8F22F25
b'Apartamento T2 NOVO | \xc3\x9altimo piso | Pr\xc3\xa9dio j\xc3\xa1 em constru\xc3\xa7\xc3\xa3o | 2 frente';https://www.imovirtual.com/pt/anuncio/apartamento-t2-novo-ultimo-piso-predio-ja-em-construcao-2-frente-ID15nPq;135000;09/05/2021;1588;Travessa da Lage;PortoParedesRebordosa;Rebordosa;PAREDES;PORTO;85;120;T2;;2;A;Novo;F2F8F11F22F25
b'Apartamento T2 NOVO - Pr\xc3\xa9dio j\xc3\xa1 em constru\xc3\xa7\xc3\xa3o | 2 frentes com varandas';https://www.imovirtual.com/pt/anuncio/apartamento-t2-novo-predio-ja-em-construcao-2-frentes-com-varandas-ID15nPl;125000;09/05/2021;1506;Travessa da Lage;PortoParedesRebordosa;Rebordosa;PAREDES;PORTO;83;117;T2;;2;A;Novo;F2F3F8F22F25
b'Apartamento T2 NOVO c/ TERRA\xc3\x87O 35m2 | Pr\xc3\xa9dio j\xc3\xa1 em constru\xc3\xa7\xc3\xa3o | 2 fren';https://www.imovirtual.com/pt/anuncio/apartamento-t2-novo-c-terraco-35m2-predio-ja-em-construcao-2-fren-ID15nPj;138500;09/05/2021;1669;Travessa da Lage;PortoParedesRebordosa;Rebordosa;PAREDES;PORTO;83;148;T2;;2;A;Novo;F2F3F8F22F25F27
b'Apartamento T2 NOVO - Pr\xc3\xa9dio j\xc3\xa1 em constru\xc3\xa7\xc3\xa3o | 2 frentes com varandas';https://www.imovirtual.com/pt/anuncio/apartamento-t2-novo-predio-ja-em-construcao-2-frentes-com-varandas-ID15nPh;125000;09/05/2021;1471;Travessa da Lage;PortoParedesRebordosa;Rebordosa;PAREDES;PORTO;85;123;T2;;2;A;Novo;F2F3F8F22F25
b'Apartamento T2 NOVO | \xc3\x9altimo piso | Pr\xc3\xa9dio j\xc3\xa1 em constru\xc3\xa7\xc3\xa3o | 2 frente';https://www.imovirtual.com/pt/anuncio/apartamento-t2-novo-ultimo-piso-predio-ja-em-construcao-2-frente-ID15nPz;135000;09/05/2021;1627;Travessa da Lage;PortoParedesRebordosa;Rebordosa;PAREDES;PORTO;83;122;T2;;2;A;Novo;F2F8F22F25
b'Apartamento T2 NOVO | \xc3\x9altimo piso | Pr\xc3\xa9dio j\xc3\xa1 em constru\xc3\xa7\xc3\xa3o | 2 frente';https://www.imovirtual.com/pt/anuncio/apartamento-t2-novo-ultimo-piso-predio-ja-em-construcao-2-frente-ID15nPq;135000;09/05/2021;1588;Travessa da Lage;PortoParedesRebordosa;Rebordosa;PAREDES;PORTO;85;120;T2;;2;A;Novo;F2F8F11F22F25
b'Apartamento T3- com Lugar de Garagem - Rebordosa';https://www.imovirtual.com/pt/anuncio/apartamento-t3-com-lugar-de-garagem-rebordosa-ID15Oyp;160000;09/05/2021;1074;Rua Sao Miguel;PortoParedesRebordosa;Rebordosa;PAREDES;PORTO;149;149;T3;;2;C;Renovado;F2F8F9F21F22
b'Apartamento Paredes Vilela garagem e arrumo';https://www.imovirtual.com/pt/anuncio/apartamento-paredes-vilela-garagem-e-arrumo-ID14iFF;80000;09/05/2021;909;Avenida de Sao Jose;PortoParedesVilela;Vilela;PAREDES;PORTO;88;110;T2;;2;C;Usado;F2F8F10
b'T3 Novo - Abrag\xc3\xa3o- Penafiel';https://www.imovirtual.com/pt/anuncio/t3-novo-abragao-penafiel-ID10O4p;130000;09/05/2021;1104;Rua Nova Esperanca;PortoPenafielAbragao;Abragao;PENAFIEL;PORTO;117;117;T3;;3;C;Usado;F5F10F14F18
b'Apartamento T2 P\xc3\xb3voa de Varzim Novo Centro';https://www.imovirtual.com/pt/anuncio/apartamento-t2-povoa-de-varzim-novo-centro-ID13vw1;175000;09/05/2021;1944;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;90;;T2;2020;2;A;Novo;F8F11F14F22F27
b'T. 3 com garagem para 2 e 3 carros - NOVOS - P\xc3\xb3voa de Varzim';https://www.imovirtual.com/pt/anuncio/t-3-com-garagem-para-2-e-3-carros-novos-povoa-de-varzim-ID14aQE;215000;09/05/2021;1792;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;120;150;T3;;2;A;Em construcao;F8F10
b'T. 4 com arrumos - P\xc3\xb3voa de Varzim';https://www.imovirtual.com/pt/anuncio/t-4-com-arrumos-povoa-de-varzim-ID14aMQ;120000;09/05/2021;1026;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;117;120;T4;;2;E;Usado;F2F19
b'T. 3 A Estrear - 200 m. da praia P\xc3\xb3voa de Varzim';https://www.imovirtual.com/pt/anuncio/t-3-a-estrear-200-m-da-praia-povoa-de-varzim-ID14aMz;265000;09/05/2021;2208;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;120;;T3;;2;A;Novo;F8F15
b'T. 4 Novo Pr\xc3\xb3ximo da Praia da P\xc3\xb3voa de Varzim';https://www.imovirtual.com/pt/anuncio/t-4-novo-proximo-da-praia-da-povoa-de-varzim-ID14aMx;414500;09/05/2021;2763;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;150;;T4;;;A;Novo;F15
b'Apartamento T. 2 Novo - Pr\xc3\xb3ximo da Praia P\xc3\xb3voa de Varzim';https://www.imovirtual.com/pt/anuncio/apartamento-t-2-novo-proximo-da-praia-povoa-de-varzim-ID14aMp;290000;09/05/2021;3222;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;90;;T2;;2;A;Novo;F8F15F29
b'T. 2 a 50 m. da Avenida dos banhos - P\xc3\xb3voa de Varzim';https://www.imovirtual.com/pt/anuncio/t-2-a-50-m-da-avenida-dos-banhos-povoa-de-varzim-ID14aM1;189000;09/05/2021;2363;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;80;Não especificado;T2;;Não especificado;C;Usado;F12
b'Apartamentos T. 2 com garagem - NOVOS - P\xc3\xb3voa de Varzim';https://www.imovirtual.com/pt/anuncio/apartamentos-t-2-com-garagem-novos-povoa-de-varzim-ID14aL6;191000;09/05/2021;2032;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;94;120;T2;;2;A;Em construcao;F8F10
b'Apartamento T3 | NOVO | 200m da Praia | P\xc3\xb3voa de Varzim';https://www.imovirtual.com/pt/anuncio/apartamento-t3-novo-200m-da-praia-povoa-de-varzim-ID12mp8;265000;09/05/2021;2366;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;112;125;T3;2018;2;A;Novo;F4F8F14F15F22F25
b'Apartamento T4 | Junto \xc3\xa0 Praia da P\xc3\xb3voa de Varzim | Vistas de Mar';https://www.imovirtual.com/pt/anuncio/apartamento-t4-junto-a-praia-da-povoa-de-varzim-vistas-de-mar-ID11Ra2;370000;09/05/2021;1595;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;232;248;T4;1995;4;C;Não especificado;F2F6F8F9F12F14F21F22
b'T. 3 com garagem para 2 carros - centro da P\xc3\xb3voa de Varzim';https://www.imovirtual.com/pt/anuncio/t-3-com-garagem-para-2-carros-centro-da-povoa-de-varzim-ID15CRn;339000;09/05/2021;2511;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;135;140;T3;;3;E;Usado;F8F10
b'T. 3 com garagem para 2 carros - centro da P\xc3\xb3voa de Varzim';https://www.imovirtual.com/pt/anuncio/t-3-com-garagem-para-2-carros-centro-da-povoa-de-varzim-ID15CRn;339000;09/05/2021;2511;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;135;140;T3;;3;E;Usado;F8F10
b'T. 3 Pr\xc3\xb3ximo Metro P\xc3\xb3voa de Varzim';https://www.imovirtual.com/pt/anuncio/t-3-proximo-metro-povoa-de-varzim-ID15C30;133500;09/05/2021;1136;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;117;122;T3;;2;E;Usado;F12F19
b'T. 2 com lugar de garagem - a 300 m. da Esta\xc3\xa7\xc3\xa3o Metro P\xc3\xb3voa de Varzim';https://www.imovirtual.com/pt/anuncio/t-2-com-lugar-de-garagem-a-300-m-da-estacao-metro-povoa-de-varzim-ID14aMj;149500;09/05/2021;1574;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;95;110;T2;;2;D;Usado;F10F15F19
b'T. 3 Centro da Cidade  Com Garagem';https://www.imovirtual.com/pt/anuncio/t-3-centro-da-cidade-com-garagem-ID14aMM;220000;09/05/2021;1833;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;120;135;T3;;2;B;Novo;F12
b'T. 3 Centro da Cidade  Com Garagem';https://www.imovirtual.com/pt/anuncio/t-3-centro-da-cidade-com-garagem-ID14aMM;220000;09/05/2021;1833;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;120;135;T3;;2;B;Novo;F12
b'Fant\xc3\xa1stico T3 totalmente remodelado | P\xc3\xb3voa de Varzim';https://www.imovirtual.com/pt/anuncio/fantastico-t3-totalmente-remodelado-povoa-de-varzim-ID15GRk;190000;09/05/2021;1900;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;100;Não especificado;T3;;2;C;Renovado;F2F8F10F24
b'Fabuloso T4 de luxo- como novo- mobilado e equipado | Mon...';https://www.imovirtual.com/pt/anuncio/fabuloso-t4-de-luxo-como-novo-mobilado-e-equipado-mon-ID15LzJ;380000;09/05/2021;1674;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;227;311;T4;;2;C;Usado;F2F3F8F10F15F16F19F22F24
b'Fant\xc3\xa1stico Est\xc3\xbadio c/ vista mar | P\xc3\xb3voa de Varzim';https://www.imovirtual.com/pt/anuncio/fantastico-estudio-c-vista-mar-povoa-de-varzim-ID15KCa;160000;09/05/2021;4571;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;35;Não especificado;T1;;1;C;Renovado;F12F16F20F22
b'T. 1 + 1 Centro da cidade e pr\xc3\xb3ximo da praia P\xc3\xb3voa de Varzim';https://www.imovirtual.com/pt/anuncio/t-1-1-centro-da-cidade-e-proximo-da-praia-povoa-de-varzim-ID15JjL;120000;09/05/2021;2000;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;60;70;T1;;1;D;Usado;F2F12
b'T. 2 remodelado - a 300 m. da praia P\xc3\xb3voa de Varzim';https://www.imovirtual.com/pt/anuncio/t-2-remodelado-a-300-m-da-praia-povoa-de-varzim-ID15N4A;179000;09/05/2021;2106;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;85;95;T2;;2;F;Renovado;F19
b'Apartamento T1 remodelado no centro da P\xc3\xb3voa de Varzim';https://www.imovirtual.com/pt/anuncio/apartamento-t1-remodelado-no-centro-da-povoa-de-varzim-ID15Rym;135000;09/05/2021;2935;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;46;52;T1;1983;1;D;Renovado;F12F14F22F23
b'Apartamento T3 a Venda junto a Praia da P\xc3\xb3voa de Varzim';https://www.imovirtual.com/pt/anuncio/apartamento-t3-a-venda-junto-a-praia-da-povoa-de-varzim-ID15RE7;290000;09/05/2021;2339;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;124;124;T3;;2;C;Usado;F2F9F10F11F12F15F22F29
b'Venda de Apartamento T1 como novo- pr\xc3\xb3ximo da praia- P\xc3\xb3voa de Varzim';https://www.imovirtual.com/pt/anuncio/venda-de-apartamento-t1-como-novo-proximo-da-praia-povoa-de-varzim-ID15UsV;128000;09/05/2021;2844;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;45;Não especificado;T1;1988;1;D;Não especificado;F14F22
b'Venda de Apartamento T2 pr\xc3\xb3ximo do metro- P\xc3\xb3voa de Varzim.';https://www.imovirtual.com/pt/anuncio/venda-de-apartamento-t2-proximo-do-metro-povoa-de-varzim-ID15TUw;108000;09/05/2021;1200;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;90;Não especificado;T2;;1;D;Não especificado;F14F17
b'Apartamento T1 remodelado no centro da P\xc3\xb3voa de Varzim';https://www.imovirtual.com/pt/anuncio/apartamento-t1-remodelado-no-centro-da-povoa-de-varzim-ID15Rym;135000;09/05/2021;2935;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;46;52;T1;1983;1;D;Renovado;F12F14F22F23
b'Venda de Apartamento T3 no \xc3\xbaltimo piso com terra\xc3\xa7o- P\xc3\xb3voa de Varzim';https://www.imovirtual.com/pt/anuncio/venda-de-apartamento-t3-no-ultimo-piso-com-terraco-povoa-de-varzim-ID13Hbm;200000;09/05/2021;2000;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;100;Não especificado;T3;1996;2;D;Não especificado;F2F12F14F17F22F27
b'Venda de Apartamento T2- pr\xc3\xb3ximo do metro- P\xc3\xb3voa de Varzim';https://www.imovirtual.com/pt/anuncio/venda-de-apartamento-t2-proximo-do-metro-povoa-de-varzim-ID15PuW;125000;09/05/2021;1316;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;95;Não especificado;T2;;1;D;Não especificado;F2F14F22
b'Novo! Luxo! T4 Duplex c/4 suites - Povoa de Varzim';https://www.imovirtual.com/pt/anuncio/novo-luxo-t4-duplex-c-4-suites-povoa-de-varzim-ID15PGG;750000;09/05/2021;3061;;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;245;;T4;;4;B;Novo;F2F3F8F10F12F14F22F27
b'T2+1 Mezanino com Vista para o Mar | P\xc3\xb3voa de Varzim';https://www.imovirtual.com/pt/anuncio/t2-1-mezanino-com-vista-para-o-mar-povoa-de-varzim-ID1594p;270000;09/05/2021;1800;Rua Doutor Armindo Graca;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;150;Não especificado;T2;2000;2;D;Renovado;F12F14F15F16F17F22
b'Apartamento T2 em P\xc3\xb3voa de Varzim- pr\xc3\xb3ximo ao metro';https://www.imovirtual.com/pt/anuncio/apartamento-t2-em-povoa-de-varzim-proximo-ao-metro-ID14btL;125000;09/05/2021;1645;Praceta Irma Maria Campos;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;76;88;T2;1998;1;D;Usado;F1F9F16F19F25
b'Venda t3 restaurado zona nobre a 50 mts da praia 3 lugares de garagem';https://www.imovirtual.com/pt/anuncio/venda-t3-restaurado-zona-nobre-a-50-mts-da-praia-3-lugares-de-garagem-ID13gmY;268000;09/05/2021;2233;Rua Doutor Armindo Graca;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;120;150;T3;;2;B;Renovado;F2F14F17F19F22F23F25F29
b'Vende-se t3 com 160m2 completamente restaurado';https://www.imovirtual.com/pt/anuncio/vende-se-t3-com-160m2-completamente-restaurado-ID150Ek;295000;09/05/2021;1844;Avenida Vasco da Gama;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;160;Não especificado;T3;;2;Não especificado;Renovado;F8F9F12F14F19F22F23F24
b'Apartamento T2 na P\xc3\xb3voa de Varzim';https://www.imovirtual.com/pt/anuncio/apartamento-t2-na-povoa-de-varzim-ID15KZd;144000;09/05/2021;1600;Bairro de Barreiros;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;90;90;T2;1994;2;D;Não especificado;F22
b'Apartamento T3 Povoa de Varzim ( central da camionagem )';https://www.imovirtual.com/pt/anuncio/apartamento-t3-povoa-de-varzim-central-da-camionagem-ID15HfT;169900;09/05/2021;1559;Rua Alberto Pinheiro Torres;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;109;136;T3;2000;2;C;Não especificado;F2F10F14F22
b'Apartamento T3 no centro da Povoa de Varzim com 2 terra\xc3\xa7os';https://www.imovirtual.com/pt/anuncio/apartamento-t3-no-centro-da-povoa-de-varzim-com-2-terracos-ID15HfS;225000;09/05/2021;2103;Rua Elias Garcia;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;107;157;T3;1980;2;C;Não especificado;F14F19F22
b'Apartamento T3 junto \xc3\xa1s escolas na P\xc3\xb3voa de Varzim';https://www.imovirtual.com/pt/anuncio/apartamento-t3-junto-as-escolas-na-povoa-de-varzim-ID15HfP;120000;09/05/2021;1263;Praceta de Fonseca Cardoso;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;95;100;T3;1990;2;B;Não especificado;F2F6F14F16F17
b'Apartamento T3 para venda na P\xc3\xb3voa de Varzim';https://www.imovirtual.com/pt/anuncio/apartamento-t3-para-venda-na-povoa-de-varzim-ID15HfL;160000;09/05/2021;1391;Travessa de La Guardia;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;115;115;T3;1989;2;D;Não especificado;F6
b'Apartamento T3 Povoa de Varzim';https://www.imovirtual.com/pt/anuncio/apartamento-t3-povoa-de-varzim-ID15ziV;165000;09/05/2021;1375;Rua Doutor Garcia de Carvalho;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;120;135;T3;1987;2;C;Não especificado;F2F6F14
b'Apartamento T2+1 em P\xc3\xb3voa de Varzim';https://www.imovirtual.com/pt/anuncio/apartamento-t2-1-em-povoa-de-varzim-ID15nPI;165000;09/05/2021;1774;Rua Alberto Oliveira;PortoPovoa de VarzimPovoa de Varzim, Beiriz e Argivai;Povoa de Varzim, Beiriz e Argivai;POVOA DE VARZIM;PORTO;93;112;T3;1999;1;Não especificado;Usado;F10F17
b'Apartamento T2 com varanda e garagem-  Empreendimento Cedros Lux Desig';https://www.imovirtual.com/pt/anuncio/apartamento-t2-com-varanda-e-garagem-empreendimento-cedros-lux-desig-ID15NUM;248500;09/05/2021;3030; Bairro de Ramalde;PortoPortoRamalde;Ramalde;PORTO;PORTO;82;93;T2;2022;2;Não especificado;Não especificado;F2F3F10F14F17F22
b'Excelente T2 com belo Jardim de 48-85m2-  terra\xc3\xa7o de 44m2 e garagem na';https://www.imovirtual.com/pt/anuncio/excelente-t2-com-belo-jardim-de-48-85m2-terraco-de-44m2-e-garagem-na-ID15NUL;294000;09/05/2021;3542; Bairro de Ramalde;PortoPortoRamalde;Ramalde;PORTO;PORTO;83;179;T2;2022;2;Não especificado;Não especificado;F3F10F14F17F22F27
b'T1 Kit \xc3\xa0 Avenida Antunes Guimar\xc3\xa3es';https://www.imovirtual.com/pt/anuncio/t1-kit-a-avenida-antunes-guimaraes-ID159HE;95000;09/05/2021;2969; Bairro de Ramalde;PortoPortoRamalde;Ramalde;PORTO;PORTO;32;32;T1;1985;1;D;Usado;F16F24
b'Apartamento T1 com lugar de garagem - Condom\xc3\xadnio fechado- Porto';https://www.imovirtual.com/pt/anuncio/apartamento-t1-com-lugar-de-garagem-condominio-fechado-porto-ID15UqI;159900;09/05/2021;3198; Bairro de Santo Eugenio;PortoPortoRamalde;Ramalde;PORTO;PORTO;50;63;T1;2001;1;Não especificado;Usado;F10
