Group Features ID;Código Grupo
F11F14F17F19F22F24;ArrecadacaoCozinha EquipadaEstacionamentoGas CanalizadoElevadorMarquise
F11F14F17F22;ArrecadacaoCozinha EquipadaEstacionamentoElevador
F11F14F17F22F23;ArrecadacaoCozinha EquipadaEstacionamentoElevadorKitchenette
F11F14F17F22F24;ArrecadacaoCozinha EquipadaEstacionamentoElevadorMarquise
F11F14F17F22F25;ArrecadacaoCozinha EquipadaEstacionamentoElevadorParqueamento
F11F14F17F22F25F27;ArrecadacaoCozinha EquipadaEstacionamentoElevadorParqueamentoTerraco
F11F14F18;ArrecadacaoCozinha EquipadaCondominio Fechado
F11F14F18F22;ArrecadacaoCozinha EquipadaCondominio FechadoElevador
F11F14F18F22F25;ArrecadacaoCozinha EquipadaCondominio FechadoElevadorParqueamento
F11F14F19;ArrecadacaoCozinha EquipadaGas Canalizado
F11F14F19F22;ArrecadacaoCozinha EquipadaGas CanalizadoElevador
F11F14F19F22F25F27F29;ArrecadacaoCozinha EquipadaGas CanalizadoElevadorParqueamentoTerracoCaldeira
F11F14F19F22F29;ArrecadacaoCozinha EquipadaGas CanalizadoElevadorCaldeira
F11F14F19F24;ArrecadacaoCozinha EquipadaGas CanalizadoMarquise
F11F14F22;ArrecadacaoCozinha EquipadaElevador
F11F14F22F24F25;ArrecadacaoCozinha EquipadaElevadorMarquiseParqueamento
F11F14F22F25;ArrecadacaoCozinha EquipadaElevadorParqueamento
F11F14F22F26;ArrecadacaoCozinha EquipadaElevadorPiso Radiante
F11F14F22F26F27;ArrecadacaoCozinha EquipadaElevadorPiso RadianteTerraco
F11F14F22F27;ArrecadacaoCozinha EquipadaElevadorTerraco
F11F14F24;ArrecadacaoCozinha EquipadaMarquise
F11F14F27;ArrecadacaoCozinha EquipadaTerraco
F11F14F29;ArrecadacaoCozinha EquipadaCaldeira
F11F15F17F19F22;ArrecadacaoAquecimento CentralEstacionamentoGas CanalizadoElevador
F11F15F17F19F22F27;ArrecadacaoAquecimento CentralEstacionamentoGas CanalizadoElevadorTerraco
F11F15F17F22F27;ArrecadacaoAquecimento CentralEstacionamentoElevadorTerraco
F11F15F18F19F22F25;ArrecadacaoAquecimento CentralCondominio FechadoGas CanalizadoElevadorParqueamento
F11F15F19F22F25;ArrecadacaoAquecimento CentralGas CanalizadoElevadorParqueamento
F11F15F24F25F27;ArrecadacaoAquecimento CentralMarquiseParqueamentoTerraco
F11F16;ArrecadacaoMobilado
F11F16F22F23;ArrecadacaoMobiladoElevadorKitchenette
F11F17;ArrecadacaoEstacionamento
F11F17F19F22F24F27;ArrecadacaoEstacionamentoGas CanalizadoElevadorMarquiseTerraco
F11F17F20;ArrecadacaoEstacionamentoPiscina
F11F17F20F27;ArrecadacaoEstacionamentoPiscinaTerraco
F11F17F22;ArrecadacaoEstacionamentoElevador
F11F17F22F29;ArrecadacaoEstacionamentoElevadorCaldeira
F11F18F19F22F25;ArrecadacaoCondominio FechadoGas CanalizadoElevadorParqueamento
F11F18F20F26F27;ArrecadacaoCondominio FechadoPiscinaPiso RadianteTerraco
F11F18F26F27;ArrecadacaoCondominio FechadoPiso RadianteTerraco
F11F19F22;ArrecadacaoGas CanalizadoElevador
F11F19F22F23;ArrecadacaoGas CanalizadoElevadorKitchenette
F11F19F22F25F27;ArrecadacaoGas CanalizadoElevadorParqueamentoTerraco
F11F19F24;ArrecadacaoGas CanalizadoMarquise
F11F19F27;ArrecadacaoGas CanalizadoTerraco
F11F20F22;ArrecadacaoPiscinaElevador
F11F20F27;ArrecadacaoPiscinaTerraco
F11F21F22F25;ArrecadacaoBoxElevadorParqueamento
F11F22;ArrecadacaoElevador
F11F22F23;ArrecadacaoElevadorKitchenette
F11F22F25;ArrecadacaoElevadorParqueamento
F11F23;ArrecadacaoKitchenette
